     3537     5.20000
     1.195893    1.809347    1.433913
     0.676668    2.075414    1.412366
     0.099968    2.169213    1.429867
    -0.476361    2.111141    1.440889
    -1.025967    1.938200    1.396701
    -1.538571    1.614566    1.336403
    -1.976605    1.136314    1.249728
    -2.283513    0.561197    1.109336
    -2.491621   -0.258275    0.696504
    -2.226552   -1.307565    0.304530
     1.013311   -2.267639    0.768776
     1.553336   -1.762127    1.114476
     1.888740   -1.261883    1.265035
     2.013004   -0.548884    1.551304
     1.982367    0.110015    1.678726
     1.783870    0.675941    1.766610
     1.461037    1.113396    1.840033
     1.074139    1.509144    1.824475
     0.584362    1.785937    1.796928
     0.025567    1.858566    1.817988
    -0.525285    1.765652    1.834816
    -1.046234    1.595925    1.765905
    -1.538900    1.261989    1.673072
    -1.948314    0.742707    1.553209
    -2.272005    0.086933    1.261125
    -2.293717   -0.476798    1.127619
    -2.098795   -1.315295    0.790606
     0.507645   -2.487153    0.562464
     1.125334   -1.947162    1.304677
     1.516320   -1.390339    1.589884
     1.699159   -0.880999    1.759744
     1.714364   -0.234371    1.940625
     1.545235    0.328126    2.065087
     1.221008    0.703357    2.185047
     0.910165    1.122038    2.161627
     0.467461    1.416449    2.129590
    -0.066124    1.459107    2.150962
    -0.586105    1.303380    2.172023
    -1.059128    1.163252    2.070047
    -1.513949    0.837376    1.940814
    -1.895431    0.288578    1.756150
    -2.029446   -0.224044    1.609706
    -2.087745   -0.921699    1.245709
    -1.662728   -1.976958    0.294912
     0.023179   -2.510746    0.674996
     0.681528   -2.215533    1.177680
     1.066542   -1.618730    1.732686
     1.208330   -1.109233    2.017310
     1.363969   -0.604555    2.129343
     1.262333   -0.056072    2.272305
     0.860640    0.163861    2.447948
     0.693396    0.635392    2.423939
     0.313300    0.968338    2.392523
    -0.219610    0.976674    2.399558
    -0.548090    0.603348    2.468920
    -1.017273    0.684877    2.292619
    -1.468957    0.355414    2.115620
    -1.620120   -0.181985    2.025362
    -1.851437   -0.713274    1.680304
    -1.825969   -1.380610    1.232784
    -1.687972   -1.823167    0.766039
    -0.200979   -2.591796    0.046931
     0.174968   -2.309758    1.180849
     0.567723   -1.910522    1.669609
     0.670105   -1.450819    2.050874
     0.729378   -0.986229    2.292457
     0.898780   -0.478113    2.392405
     0.390207   -0.473882    2.526494
     0.375143    0.057184    2.572158
     0.040344    0.479726    2.555041
    -0.154381   -0.064668    2.594607
    -0.632007    0.083726    2.520626
    -1.109804    0.070056    2.350197
    -1.135450   -0.467903    2.291685
    -1.459615   -0.746587    2.017953
    -1.543810   -1.232646    1.690335
    -1.456643   -1.760805    1.240064
    -1.285051   -2.260154    0.018649
    -0.576323   -2.513198    0.334195
    -0.457715   -2.406382    0.871678
    -0.442614   -2.185019    1.337829
     0.044078   -2.032474    1.620835
    -0.374516   -1.820761    1.817847
     0.170370   -1.597062    2.044594
     0.201347   -1.011559    2.386673
    -0.218746   -1.313925    2.232880
